x÷·,y÷·,z÷·
461.905,-363.363,-28.44
461.99,-363.536,-28.42
461.947,-363.362,-28.316
462.141,-363.312,-28.313
462.081,-363.452,-28.396
462.082,-363.714,-28.364
461.999,-363.406,-28.425
462.004,-363.492,-28.352
462.064,-363.461,-28.267
462.053,-363.471,-28.305
462.084,-363.505,-28.17
462.125,-363.645,-28.153
462.211,-363.294,-28.341
462.101,-363.432,-28.354
462.095,-363.454,-28.215
462.217,-363.377,-28.352
462.3,-363.118,-28.215
461.988,-363.335,-28.284
462.099,-363.368,-28.235
462.267,-363.382,-28.286
462.157,-363.227,-28.273
462.275,-363.458,-28.304
462.42,-363.355,-28.381
462.035,-363.42,-28.497
462.207,-363.111,-28.309
462.129,-363.328,-28.429
462.126,-363.145,-28.432
462.105,-363.197,-28.37
462.263,-363.412,-28.405
462.202,-363.324,-28.153
462.232,-363.35,-28.186
462.26,-363.259,-28.338
462.54,-363.346,-28.236
462.36,-363.26,-28.122
462.346,-363.271,-28.221
462.363,-363.24,-28.315
462.47,-363.385,-28.295
462.468,-363.347,-28.103
462.424,-363.578,-28.27
462.453,-363.378,-28.247
462.504,-363.292,-28.331
462.511,-363.261,-28.28
462.312,-363.203,-28.226
462.415,-363.127,-28.279
462.412,-363.228,-28.29
462.351,-363.151,-28.294
462.414,-363.014,-28.315
462.39,-362.967,-28.168
462.462,-363.051,-28.366
462.156,-363.221,-28.258
462.137,-363.165,-28.219
462.239,-362.933,-28.147
462.243,-363.022,-28.236
462.327,-363.112,-28.343
462.364,-362.995,-28.155
462.248,-363.333,-28.166
462.204,-363.229,-28.148
462.165,-363.116,-28.091
462.254,-363.198,-28.196
462.224,-363.23,-28.234
462.279,-363.342,-28.212
462.459,-363.111,-28.074
462.26,-363.204,-28.193
462.323,-363.362,-28.184
462.254,-363.138,-28.259
462.207,-363.155,-28.162
462.163,-363.239,-28.299
462.082,-363.342,-28.328
462.173,-363.272,-28.212
462.064,-363.085,-28.385
462.207,-363.294,-28.235
462.109,-363.179,-28.184
462.121,-363.12,-28.122
462.021,-363.234,-28.136
462.057,-363.154,-28.208
462.296,-363.334,-28.169
462.025,-363.3,-28.176
462.078,-363.17,-28.236
462.265,-363.064,-28.078
462.197,-363.092,-28.349
462.281,-363.08,-28.34
462.231,-363.398,-28.253
462.17,-363.506,-28.139
462.176,-363.256,-28.146
462.08,-363.219,-28.389
462.127,-363.322,-28.158
462.085,-363.521,-28.231
462.118,-363.388,-28.262
461.999,-363.457,-28.311
462.199,-363.41,-28.233
462.139,-363.438,-28.252
462.117,-363.163,-28.246
462.139,-363.306,-28.311
462.099,-363.267,-28.243
462.085,-363.353,-28.191
462.203,-363.156,-28.205
462.323,-363.222,-28.228
462.367,-363.399,-28.318
462.351,-363.37,-28.246
462.348,-363.325,-28.305
462.093,-363.307,-28.336
462.297,-363.427,-28.429
462.242,-363.296,-28.29
462.09,-363.221,-28.338
462.066,-362.977,-28.247
462.051,-363.49,-28.192
462.062,-363.377,-28.051
462.178,-363.412,-28.279
462.086,-363.371,-28.456
462.019,-363.276,-28.297
462.182,-363.193,-28.265
462.261,-363.175,-28.447
462.013,-363.121,-28.386
461.963,-363.342,-28.417
462.105,-363.178,-28.298
462.119,-363.43,-28.25
462.033,-363.297,-28.399
462.081,-363.492,-28.385
462.132,-363.579,-28.361
462.248,-363.539,-28.43
462.272,-363.572,-28.515
462.179,-363.402,-28.464
462.193,-363.43,-28.37
462.081,-363.364,-28.358
462.35,-363.547,-28.213
462.394,-363.454,-28.256
462.325,-363.414,-28.371
462.293,-363.481,-28.291
462.032,-363.437,-28.323
462.074,-363.414,-28.37
462.066,-363.145,-28.489
462.113,-363.291,-28.446
462.392,-363.265,-28.198
462.238,-363.306,-28.155
462.137,-363.335,-28.275
462.159,-363.39,-28.234
462.116,-363.294,-28.342
462.263,-363.334,-28.437
462.241,-363.346,-28.463
462.244,-363.38,-28.457
462.195,-363.331,-28.495
462.008,-363.443,-28.395
462.106,-363.394,-28.362
462.216,-363.107,-28.238
462.085,-363.187,-28.406
462.081,-363.112,-28.43
462.235,-363.253,-28.444
462.14,-363.246,-28.427
462.068,-363.234,-28.385
462.144,-363.448,-28.436
462.077,-363.22,-28.275
462.249,-363.224,-28.421
462.166,-363.362,-28.405
462.158,-363.371,-28.451
462.181,-363.333,-28.267
462.116,-363.183,-28.488
462.229,-363.118,-28.345
462.198,-363.08,-28.394
462.26,-363.299,-28.393
462.144,-363.218,-28.473
462.002,-363.299,-28.314
462.107,-363.417,-28.303
462.033,-363.297,-28.455
461.971,-363.316,-28.375
462.059,-363.295,-28.398
462.121,-363.444,-28.387
462.047,-363.392,-28.522
462.034,-363.35,-28.541
461.905,-363.363,-28.44
461.99,-363.536,-28.42
461.947,-363.362,-28.316
462.141,-363.312,-28.313
462.081,-363.452,-28.396
462.082,-363.714,-28.364
461.999,-363.406,-28.425
462.004,-363.492,-28.352
462.064,-363.461,-28.267
462.053,-363.471,-28.305
462.084,-363.505,-28.17
462.125,-363.645,-28.153
462.211,-363.294,-28.341
462.101,-363.432,-28.354
462.095,-363.454,-28.215
462.217,-363.377,-28.352
462.3,-363.118,-28.215
461.988,-363.335,-28.284
462.099,-363.368,-28.235
462.267,-363.382,-28.286
462.157,-363.227,-28.273
462.275,-363.458,-28.304
462.42,-363.355,-28.381
462.035,-363.42,-28.497
462.207,-363.111,-28.309
462.129,-363.328,-28.429
462.126,-363.145,-28.432
462.105,-363.197,-28.37
462.263,-363.412,-28.405
462.202,-363.324,-28.153
462.232,-363.35,-28.186
462.26,-363.259,-28.338
461.998,-363.32,-28.286
462.042,-363.299,-28.282
461.931,-363.289,-28.323
461.911,-363.343,-28.519
462.135,-363.19,-28.451
462.088,-363.319,-28.369
462.068,-363.353,-28.301
462.121,-363.336,-28.294
462.134,-363.223,-28.278
462.096,-363.3,-28.421
462.122,-363.266,-28.361
462.111,-363.199,-28.51
462.066,-363.156,-28.334
462.035,-363.414,-28.462
462.086,-363.245,-28.502
462.048,-363.386,-28.454
462.096,-363.229,-28.397
462.021,-363.242,-28.261
462.083,-363.053,-28.259
462.15,-363.09,-28.172
462.212,-363.299,-28.275
462.397,-363.54,-28.198
462.4,-363.497,-28.342
462.234,-363.374,-28.263
462.214,-363.365,-28.309
462.093,-363.245,-28.28
462.141,-363.111,-28.26
462.079,-363.104,-28.205
462.11,-363.333,-28.254
462.086,-363.149,-28.35
462.034,-363.373,-28.324
462.066,-363.256,-28.311
462.201,-363.429,-28.42
462.132,-363.051,-28.374
462.207,-363.388,-28.525
462.198,-363.216,-28.477
462.27,-363.351,-28.257
462.217,-363.3,-28.299
462.143,-363.193,-28.33
462.389,-363.227,-28.169
462.357,-363.364,-28.262
462.375,-363.296,-28.213
462.236,-363.343,-28.134
462.088,-363.413,-28.227
462.395,-363.196,-28.432
462.389,-363.164,-28.222
462.289,-363.203,-28.143
462.218,-363.19,-28.163
462.319,-363.37,-28.428
462.332,-363.283,-28.346
462.306,-363.292,-28.364
462.339,-363.278,-28.298
462.436,-363.081,-28.211
462.227,-363.167,-28.18
462.306,-363.103,-28.302
