x÷·,y÷·,z÷·
-599.716,-239.316,170.805
-599.782,-239.408,170.927
-599.766,-239.471,170.983
-599.656,-239.447,170.964
-599.567,-239.546,171.062
-599.472,-239.565,170.973
-599.526,-239.436,170.952
-599.71,-239.407,170.941
-599.646,-239.353,170.805
-599.604,-239.516,170.934
-599.693,-239.496,171.029
-599.705,-239.399,171.029
-599.615,-239.369,170.98
-599.526,-239.35,171.018
-599.668,-239.388,171.074
-599.574,-239.288,170.989
-599.552,-239.405,170.915
-599.63,-239.547,170.864
-599.528,-239.404,170.794
-599.621,-239.642,170.737
-599.611,-239.787,170.791
-599.24,-239.846,170.761
-600.532,-239.859,172.345
-600.57,-239.755,172.035
-599.458,-239.835,171.746
-600.063,-239.634,171.309
-599.523,-239.835,171.37
-599.798,-239.751,170.906
-599.692,-239.602,170.834
-599.694,-239.522,170.971
-599.662,-239.551,170.935
-599.634,-239.451,170.953
-599.551,-239.57,170.94
-599.675,-239.446,171.057
-599.513,-239.283,171.117
-599.512,-239.283,171.036
-599.63,-239.27,170.973
-599.534,-239.398,170.938
-599.542,-239.44,170.797
-599.487,-239.593,170.861
-599.643,-239.577,170.961
-599.615,-239.467,170.922
-599.575,-239.467,171.036
-599.697,-239.293,170.991
-599.838,-239.268,171.118
-599.755,-239.389,171.122
-599.615,-239.528,171.096
-599.57,-239.412,170.996
-599.646,-239.458,171.019
-599.685,-239.377,170.891
-599.669,-239.395,170.931
-599.671,-239.558,170.899
-599.631,-239.49,170.941
-599.628,-239.465,170.967
-599.676,-239.49,171.002
-599.688,-239.42,171.034
-599.652,-239.232,170.927
-599.83,-239.391,171.023
-599.788,-239.349,170.971
-599.677,-239.351,170.948
-599.643,-239.444,171.116
-599.687,-239.407,171.256
-599.604,-239.276,171.136
-599.553,-239.296,171.119
-599.468,-239.388,171.012
-599.486,-239.457,171.029
-599.606,-239.444,170.926
-599.636,-239.528,170.996
-599.5,-239.466,170.914
-599.387,-239.363,170.746
-599.525,-239.497,170.674
-599.374,-239.501,170.897
-599.507,-239.593,170.869
-599.514,-239.477,171.01
-599.567,-239.546,171.1
-599.424,-239.483,171.088
-599.634,-239.356,170.93
-599.588,-239.338,170.973
-599.395,-239.371,170.969
-599.54,-239.624,170.988
-599.481,-239.477,171.074
-599.482,-239.49,171.084
-599.505,-239.439,171.041
-599.394,-239.45,171.001
-599.505,-239.465,170.875
-599.668,-239.456,170.903
-599.647,-239.401,170.924
-599.598,-239.474,170.875
-599.564,-239.433,170.772
-599.583,-239.341,170.817
-599.596,-239.424,170.937
-599.486,-239.346,170.918
-599.447,-239.443,170.919
-599.357,-239.455,171.003
-599.405,-239.447,171.017
-599.425,-239.261,171.059
-599.492,-239.361,171.097
-599.38,-239.262,170.984
-599.409,-239.27,170.955
-599.425,-239.537,170.963
-599.508,-239.487,170.917
-599.46,-239.371,170.828
-599.431,-239.37,171.05
-599.443,-239.323,171.024
-599.493,-239.497,170.895
-599.511,-239.461,170.988
-599.524,-239.443,170.991
-599.565,-239.449,170.97
-599.523,-239.409,171.017
-599.578,-239.488,171.1
-599.448,-239.568,170.801
-599.592,-239.375,171.01
-599.473,-239.446,171.054
-599.395,-239.53,170.983
-599.398,-239.41,170.842
-599.369,-239.459,170.911
-599.416,-239.399,171.053
-599.424,-239.199,171.123
-599.531,-239.09,171.099
-599.446,-239.285,171.01
-599.569,-239.439,170.98
-599.595,-239.266,171.037
-599.522,-239.286,171.153
-599.574,-239.374,171.095
-599.43,-239.31,171.072
-599.386,-239.196,171.148
-599.341,-239.12,171.029
-599.322,-239.39,170.975
-599.326,-239.318,170.819
-599.429,-239.284,170.724
-599.433,-239.324,170.864
-599.452,-239.245,170.86
-599.535,-239.343,170.887
-599.577,-239.256,170.901
-599.598,-239.326,170.8
-599.622,-239.3,170.871
-599.56,-239.402,170.891
-599.587,-239.32,170.75
-599.559,-239.324,170.752
-599.367,-239.39,170.987
-599.29,-239.423,170.791
-599.428,-239.373,170.72
-599.581,-239.358,170.691
-599.465,-239.278,170.834
-599.493,-239.323,170.895
-599.496,-239.394,171.002
-599.619,-239.241,170.941
-599.6,-239.393,170.953
-599.534,-239.453,170.847
-599.488,-239.463,170.886
-599.532,-239.174,170.9
-599.369,-239.331,170.893
-599.4,-239.4,170.939
-599.487,-239.407,170.977
-599.422,-239.395,170.987
-599.269,-239.466,170.929
-599.371,-239.369,170.871
-599.345,-239.35,170.97
-599.315,-239.311,171.044
-599.458,-239.267,170.907
-599.452,-239.328,170.906
-599.445,-239.451,171.041
-599.489,-239.308,170.917
-599.462,-239.543,171.064
-599.296,-239.373,171.158
-599.34,-239.535,170.999
-599.316,-239.556,171.04
-599.322,-239.479,170.888
-599.467,-239.518,171.039
-599.541,-239.547,171.051
-599.512,-239.546,171.053
-599.322,-239.54,171.019
-599.23,-239.398,171.105
-599.313,-239.39,171.111
-599.375,-239.495,171.078
-599.437,-239.393,171.027
-599.517,-239.449,171.005
-599.564,-239.511,171.101
-599.65,-239.453,171.03
-599.439,-239.42,171.016
-599.38,-239.378,170.988
-599.345,-239.487,171.063
-599.46,-239.421,170.9
-599.465,-239.502,171.095
-599.516,-239.451,171.014
-599.599,-239.332,170.93
-599.414,-239.305,170.912
-599.303,-239.23,171.133
-599.331,-239.278,171.548
-599.427,-239.356,171.417
-599.397,-239.256,171.417
-599.283,-239.253,170.927
-599.295,-239.213,170.928
-599.428,-239.201,170.924
-599.429,-239.238,171.007
-599.233,-239.094,171.067
-599.323,-239.186,171.103
-599.36,-239.147,171.054
-599.336,-239.185,171.011
-599.499,-239.212,171.065
-599.528,-239.153,171.019
-599.38,-239.049,171.121
-599.4,-239.213,170.996
-599.331,-239.217,171.039
-599.455,-239.312,171.065
-599.413,-239.222,171.067
-599.285,-239.231,171.041
-599.26,-239.319,171.141
-599.192,-239.399,171.005
-599.202,-239.417,171.103
-599.15,-239.427,171.121
-599.213,-239.347,171.013
-599.428,-239.476,171.077
-599.338,-239.242,171.007
-599.373,-239.152,171.022
-599.35,-239.222,171.044
-599.401,-239.364,170.937
-599.227,-239.297,171.03
-599.266,-239.158,171.084
-599.281,-239.361,170.946
-599.188,-239.363,170.991
-599.235,-239.255,170.964
-599.237,-239.217,170.963
-599.248,-239.228,170.938
-599.275,-239.409,170.831
-599.277,-239.448,170.842
-599.269,-239.284,170.979
-599.299,-239.33,170.912
-599.309,-239.259,170.782
-599.394,-239.373,170.812
-599.32,-239.412,170.889
-599.301,-239.382,170.97
-599.592,-239.281,170.913
-599.632,-239.211,171.02
-599.493,-239.269,171.052
-599.483,-239.325,171.015
-599.375,-239.474,171.096
-599.434,-239.446,171.03
-599.255,-239.294,170.982
-599.396,-239.352,171.061
-599.513,-239.279,171.003
-599.514,-239.368,170.921
-599.459,-239.361,170.924
-599.394,-239.294,170.997
-599.506,-239.145,170.934
-599.611,-239.136,171.045
-599.455,-239.209,170.937
-599.423,-239.29,171.027
-599.529,-239.104,170.994
-599.529,-239.168,171.035
-599.518,-239.286,170.814
-599.453,-239.182,170.913
-599.398,-239.177,170.905
-599.275,-239.351,170.923
-599.501,-239.327,171.044
-599.507,-239.163,171.156
-599.433,-239.34,171.022
-599.362,-239.301,171.044
-599.418,-239.153,170.954
-599.346,-239.307,170.932
-599.377,-239.457,171.019
-599.411,-239.223,171.075
-599.351,-239.169,171.042
-599.402,-239.33,171.016
-599.362,-239.284,170.957
-599.455,-239.392,170.984
-599.47,-239.469,170.876
-599.379,-239.467,171.036
-599.137,-239.35,171.083
-599.296,-239.412,170.96
-599.179,-239.257,171.01
-599.219,-239.415,171.095
-599.212,-239.431,171.078
-599.201,-239.37,171.121
-599.229,-239.168,171.046
-599.152,-239.314,171.071
-599.365,-239.108,171.045
-599.372,-239.292,171.084
-599.292,-239.372,170.901
-599.333,-239.275,170.918
-599.403,-239.253,170.995
-599.291,-239.211,170.926
-599.463,-239.027,170.878
-599.298,-239.195,170.967
-599.267,-239.125,170.979
-599.407,-239.083,170.955
-599.498,-239.156,170.895
-599.348,-239.078,170.809
-599.268,-239.296,170.973
-599.226,-239.253,170.995
-599.264,-239.163,171.065
-599.36,-239.131,170.891
-599.428,-239.218,170.998
-599.469,-239.209,171.096
-599.604,-239.027,170.955
-599.43,-239.105,170.94
-599.405,-239.089,170.927
-599.339,-239.111,171.071
-599.36,-239.253,171.208
-599.261,-239.096,171.095
-599.261,-239.096,171.095
-599.439,-239.067,170.92
-599.312,-238.978,170.878
-599.384,-239.057,170.886
-599.436,-238.981,170.892
-599.52,-239.022,171.006
-599.498,-239.075,170.903
-599.39,-239.165,170.905
-599.384,-239.131,170.918
-599.325,-238.857,170.978
-599.413,-239.085,170.84
-599.527,-239.011,170.756
-599.379,-238.97,170.921
-599.33,-239.081,170.907
-599.371,-239.006,170.993
-599.294,-239.023,171.073
-599.296,-239.131,170.963
-599.384,-239.063,170.939
-599.379,-239.166,171.003
-599.472,-239.248,170.924
-599.4,-239.013,170.861
-599.367,-239.174,170.99
-599.248,-239.043,170.926
-599.229,-239.247,170.844
-599.27,-239.173,170.959
-599.388,-239.175,170.899
-599.423,-239.113,170.783
-599.395,-239.083,170.972
-599.324,-239.197,170.972
-599.291,-239.046,170.881
-599.4,-239.081,170.877
-599.304,-238.966,170.911
-599.376,-239.072,170.91
-599.179,-239.03,170.945
-599.207,-239.008,170.956
-599.279,-239.041,171.143
-599.291,-239.024,171.242
-599.289,-239.022,171.116
-599.338,-239.054,170.822
-599.703,-238.879,170.149
-599.762,-238.599,170.127
-599.764,-238.744,170.127
-599.602,-238.704,170.171
-599.616,-238.429,170.118
-599.637,-238.505,170.024
-599.728,-238.639,169.941
-599.658,-238.676,170.051
-599.75,-238.782,170.094
-599.7,-238.781,170.127
-599.771,-238.732,169.939
-599.812,-238.729,169.839
-599.697,-238.804,169.861
-599.78,-238.987,169.935
-599.758,-238.834,170.008
-599.715,-238.898,170.064
-599.741,-238.765,170.146
-599.761,-238.716,170.214
-599.787,-238.718,170.163
-599.764,-238.666,170.029
-599.703,-238.452,169.964
-599.664,-238.613,170.185
-599.511,-238.732,170.071
-599.591,-238.59,170.022
-599.671,-238.602,169.97
-599.641,-238.68,169.971
-599.635,-238.692,169.98
-599.652,-238.617,169.912
-599.602,-238.435,169.956
-599.657,-238.573,170.057
-599.645,-238.529,170.08
-599.498,-238.434,170.113
-599.654,-238.424,169.96
-599.716,-238.533,170.114
-599.618,-238.648,170.219
-599.662,-238.747,170.12
-599.693,-238.767,169.876
-599.695,-238.713,170.068
