x÷·,y÷·,z÷·
-97.06,-172.412,216.01
-97.16,-172.362,215.9
-96.938,-172.373,215.842
-97.034,-172.454,215.982
-96.965,-172.617,216.058
-97.019,-172.588,216.021
-97.132,-172.449,216.011
-96.987,-172.392,216.042
-97.027,-172.219,216.007
-97.034,-172.237,216.195
-97.032,-172.352,216.099
-97.06,-172.47,216.106
-96.962,-172.535,216.063
-97.115,-172.483,216.077
-97.02,-172.359,215.996
-97.107,-172.368,215.944
-97.075,-172.388,215.967
-97.011,-172.45,215.759
-97.041,-172.33,215.69
-97.078,-172.452,215.749
-96.908,-172.452,215.711
-96.927,-172.539,215.835
-96.817,-172.367,215.871
-96.801,-172.32,215.856
-96.826,-172.429,215.911
-96.894,-172.524,215.905
-96.816,-172.566,215.958
-96.854,-172.457,216.007
-96.764,-172.426,215.976
-96.807,-172.395,215.878
-97.029,-172.305,215.958
-97.046,-172.329,215.765
-96.995,-172.365,215.872
-97.072,-172.461,215.894
-97.039,-172.491,216.042
-97.139,-172.376,216.166
-97.109,-172.388,216.081
-97.088,-172.509,216.18
-97.089,-172.485,216.087
-97.068,-172.517,216.017
-96.992,-172.578,215.862
-96.836,-172.595,216.023
-96.844,-172.562,215.994
-96.88,-172.447,216.032
-96.996,-172.506,216.101
-96.98,-172.602,216.064
-97.033,-172.589,216.01
-97.174,-172.469,215.929
-97.04,-172.638,216.016
-96.907,-172.57,216.117
-96.942,-172.605,216.249
-96.928,-172.63,216.175
-96.977,-172.6,216.091
-96.969,-172.38,215.927
-96.816,-172.44,215.914
-96.954,-172.44,215.878
-96.944,-172.548,215.896
-96.955,-172.506,215.945
-96.919,-172.6,215.987
-97.048,-172.607,215.951
-97.11,-172.621,216.002
-96.973,-172.548,216.033
-96.973,-172.508,215.868
-97.031,-172.686,215.875
-97.097,-172.588,216.047
-97.024,-172.558,215.784
-97.095,-172.605,215.822
-96.935,-172.496,215.95
-96.973,-172.521,215.808
-97.044,-172.46,216.014
-96.982,-172.476,216.053
-97.121,-172.383,216.003
-97.08,-172.39,216.124
-97.144,-172.366,216.039
-97.065,-172.564,216.095
-97.057,-172.487,216.077
-96.968,-172.783,215.96
-96.959,-172.621,216.177
-96.955,-172.55,216.1
-97.054,-172.489,216.149
-97.127,-172.481,216.221
-97.054,-172.496,216.21
-96.996,-172.666,216.233
-97.003,-172.661,216.301
-97.054,-172.666,216.249
-96.953,-172.631,216.136
-96.996,-172.512,216.153
-97.046,-172.546,216.195
-97.083,-172.565,216.181
-97.149,-172.431,216.113
-96.92,-172.477,216.016
-97.089,-172.488,216.119
-96.999,-172.495,216.014
-96.992,-172.511,215.966
-96.969,-172.596,215.992
-96.994,-172.517,216.015
-97.038,-172.614,216.059
-96.768,-172.659,215.988
-96.964,-172.724,216.07
-96.947,-172.71,216.043
-96.891,-172.522,216.078
-96.935,-172.358,216.066
-96.877,-172.312,216.105
-96.784,-172.47,215.982
-96.759,-172.388,215.843
-96.908,-172.372,216.039
-96.904,-172.388,216.19
-97.076,-172.455,216.17
-97.001,-172.468,216.025
-96.956,-172.477,216.007
-96.794,-172.602,215.996
-96.892,-172.548,215.965
-96.858,-172.527,216.068
-97.003,-172.421,216.025
-96.999,-172.525,215.939
-97.043,-172.386,215.9
-96.899,-172.504,216.027
-96.847,-172.464,216.217
-96.849,-172.453,216.327
-96.822,-172.394,216.182
-96.855,-172.429,216.101
-96.887,-172.601,216.072
-96.954,-172.374,216.097
-96.942,-172.363,216.017
-97.001,-172.448,216.115
-96.856,-172.448,215.98
-96.89,-172.38,216.086
-96.933,-172.477,215.937
-96.945,-172.543,215.964
-97.07,-172.504,216.025
-96.89,-172.452,216.075
-96.86,-172.455,216.192
-97.001,-172.64,216.089
-96.955,-172.538,216.025
-96.982,-172.51,216.077
-97.055,-172.556,216.026
-97.053,-172.502,216.203
-96.943,-172.413,216.185
-97.024,-172.484,216.233
-96.998,-172.368,216.305
-97.094,-172.438,216.145
-97.07,-172.408,216.136
-97.06,-172.429,215.989
-97.079,-172.365,216.169
-96.982,-172.523,216.106
-96.943,-172.464,216.268
-96.915,-172.549,216.084
-96.994,-172.543,216.081
-96.85,-172.501,216.096
-97.062,-172.373,216.106
-97.059,-172.389,216.133
-97.111,-172.521,216.159
-97.143,-172.408,215.892
-97.123,-172.451,215.887
-97.036,-172.506,215.947
-97.036,-172.412,216.14
-96.959,-172.481,216.184
-96.859,-172.465,215.991
-97.127,-172.527,216.0
-97.108,-172.445,216.037
-97.057,-172.53,216.164
-97.095,-172.531,216.31
-97.027,-172.484,216.294
-97.003,-172.463,216.363
-96.989,-172.353,216.149
-97.044,-172.32,216.006
-97.002,-172.43,215.997
-96.873,-172.311,215.895
-96.891,-172.242,216.016
-96.994,-172.424,215.98
-96.85,-172.439,215.997
-96.92,-172.441,215.909
-96.838,-172.524,216.041
-96.892,-172.439,215.986
-96.904,-172.388,216.035
-96.982,-172.35,216.054
-97.145,-172.416,215.985
-96.959,-172.603,216.101
-97.104,-172.363,216.082
-96.826,-172.366,216.143
-96.879,-172.241,216.164
-96.933,-172.33,216.147
-96.939,-172.372,216.205
-96.912,-172.409,216.043
-96.936,-172.332,216.118
-97.072,-172.368,216.149
-96.918,-172.467,216.0
-96.991,-172.393,215.79
-97.069,-172.44,215.766
-97.025,-172.394,215.81
-97.031,-172.326,215.796
-96.858,-172.448,215.718
-96.871,-172.535,215.829
-96.857,-172.513,215.945
-96.889,-172.404,216.046
-96.921,-172.459,216.149
-97.265,-172.5,216.067
-97.215,-172.614,215.883
-97.094,-172.463,216.001
-97.093,-172.492,215.988
-96.868,-172.404,216.035
-96.824,-172.44,216.085
-96.845,-172.319,216.02
-96.978,-172.383,215.797
-96.999,-172.493,215.862
-96.806,-172.477,215.778
-96.824,-172.434,215.894
-96.814,-172.489,216.031
-96.962,-172.447,215.927
-96.871,-172.45,215.981
-96.959,-172.423,215.939
-96.981,-172.394,215.87
-96.915,-172.414,215.983
-96.841,-172.579,215.859
-97.057,-172.519,216.038
-97.097,-172.426,215.963
-96.98,-172.467,215.826
-96.947,-172.676,215.663
-96.975,-172.406,215.767
-96.834,-172.357,215.773
-96.772,-172.442,215.756
-96.83,-172.436,215.958
-96.756,-172.309,215.973
-96.921,-172.343,215.872
-97.123,-172.458,215.983
-97.056,-172.434,215.967
-97.177,-172.305,215.943
-97.086,-172.321,216.076
-97.112,-172.442,216.053
-97.038,-172.341,215.985
-97.008,-172.388,215.939
-96.964,-172.476,215.883
-97.126,-172.248,215.928
-97.026,-172.172,215.983
-97.098,-172.243,215.913
