x÷·,y÷·,z÷·
64.887,335.303,278.56
64.872,335.465,278.659
64.934,335.35,278.661
64.975,335.208,278.535
64.966,335.13,278.451
64.945,335.074,278.607
64.918,334.948,278.571
64.89,335.201,278.512
64.93,335.055,278.497
64.742,335.196,278.474
64.77,335.387,278.688
64.897,335.302,278.752
64.804,335.273,278.533
64.974,335.27,278.549
64.737,335.38,278.49
64.75,335.214,278.666
64.685,335.207,278.493
64.808,335.083,278.453
64.853,335.441,278.51
64.727,335.36,278.621
64.805,335.262,278.582
64.754,335.522,278.582
64.86,335.387,278.534
64.677,335.124,278.519
64.586,335.26,278.605
64.66,335.129,278.553
64.865,335.221,278.454
64.717,335.205,278.46
64.729,335.171,278.55
64.722,335.121,278.495
64.835,335.079,278.478
64.918,335.016,278.574
64.724,335.139,278.561
64.781,335.182,278.471
64.822,334.957,278.48
64.651,335.236,278.687
64.853,335.167,278.685
64.939,335.18,278.574
64.771,335.362,278.648
64.721,335.575,278.556
64.728,335.544,278.735
64.649,335.528,278.582
64.727,335.335,278.644
64.664,335.296,278.55
64.707,335.325,278.495
64.754,335.287,278.476
64.827,335.124,278.558
64.76,335.024,278.554
64.762,335.067,278.601
64.736,335.154,278.554
64.775,335.397,278.511
64.709,335.303,278.395
64.722,335.334,278.526
64.766,335.434,278.594
64.833,335.267,278.677
64.726,335.374,278.782
64.634,335.088,278.687
64.717,335.148,278.622
64.82,335.322,278.657
64.724,335.246,278.573
64.566,335.194,278.765
64.488,335.083,278.613
64.62,335.203,278.564
64.704,335.285,278.721
64.702,335.329,278.676
64.673,335.121,278.44
64.667,335.13,278.49
64.772,335.237,278.603
64.555,335.23,278.594
64.704,335.388,278.658
64.583,335.489,278.653
64.535,335.232,278.513
64.768,335.118,278.473
64.727,335.144,278.582
64.635,335.309,278.289
64.661,335.432,278.431
64.514,335.292,278.314
64.313,335.221,278.396
64.281,335.252,278.603
64.374,335.137,278.601
64.448,335.152,278.529
64.491,335.293,278.588
64.522,335.17,278.702
64.608,335.326,278.575
64.788,335.546,278.58
64.547,335.414,278.526
64.476,335.328,278.622
64.459,335.196,278.652
64.566,335.272,278.636
64.615,335.34,278.699
64.705,335.382,278.611
64.708,335.392,278.664
64.738,335.329,278.755
64.536,335.541,278.634
64.665,335.329,278.642
64.689,335.332,278.685
64.629,335.275,278.661
64.627,335.356,278.752
64.509,335.549,278.732
64.596,335.412,278.695
64.788,335.546,278.58
64.547,335.414,278.526
64.476,335.328,278.622
64.459,335.196,278.652
64.566,335.272,278.636
64.615,335.34,278.699
64.705,335.382,278.611
64.708,335.392,278.664
64.738,335.329,278.755
64.536,335.541,278.634
64.665,335.329,278.642
64.689,335.332,278.685
64.629,335.275,278.661
64.627,335.356,278.752
64.509,335.549,278.732
64.596,335.412,278.695
64.583,335.466,278.643
64.61,335.333,278.703
64.643,335.222,278.564
64.747,335.375,278.735
64.725,335.374,278.629
64.734,335.18,278.535
64.591,335.199,278.675
64.669,335.053,278.574
64.681,335.171,278.519
64.63,335.267,278.396
64.714,335.176,278.429
64.685,335.071,278.639
64.669,335.344,278.635
64.705,335.158,278.676
64.76,335.221,278.561
64.703,335.294,278.491
64.671,335.406,278.46
64.517,335.171,278.557
64.642,335.049,278.529
64.528,335.21,278.491
64.689,335.638,278.523
64.678,335.383,278.328
64.765,335.519,278.31
64.491,335.461,278.499
64.53,335.379,278.471
64.6,335.219,278.434
64.663,335.081,278.532
64.812,335.1,278.351
64.718,335.126,278.501
64.832,335.156,278.461
64.875,335.139,278.588
64.653,335.223,278.416
64.754,335.446,278.5
64.745,335.414,278.451
64.602,335.401,278.421
64.78,335.22,278.436
64.81,335.035,278.361
64.76,334.99,278.508
64.758,334.999,278.486
64.636,335.036,278.503
64.797,334.974,278.4
64.896,335.016,278.325
64.818,335.205,278.371
64.779,335.015,278.277
64.768,335.293,278.28
64.784,335.468,278.451
64.743,335.446,278.376
64.848,335.417,278.294
64.713,335.274,278.413
64.756,335.41,278.242
64.788,335.371,278.2
64.857,335.541,278.46
64.782,335.597,278.287
64.899,335.304,278.332
64.727,335.407,278.335
64.692,335.418,278.43
64.765,335.359,278.482
64.613,335.38,278.397
64.579,335.242,278.51
64.516,335.039,278.498
64.597,335.16,278.268
64.623,335.124,278.394
64.634,335.529,278.354
64.712,335.377,278.288
64.699,335.418,278.324
64.603,335.497,278.512
64.751,335.33,278.35
64.852,335.319,278.49
64.617,335.449,278.535
64.569,335.441,278.218
64.648,335.133,278.381
64.776,335.397,278.382
64.759,335.404,278.277
64.692,335.357,278.243
64.716,335.536,278.482
64.91,335.483,278.81
64.905,335.34,278.618
64.742,335.283,278.707
64.601,335.134,278.636
64.729,335.171,278.642
64.793,335.287,278.774
64.707,335.34,278.594
64.769,335.267,278.643
64.735,335.233,278.529
64.699,335.418,278.324
64.603,335.497,278.512
64.751,335.33,278.35
64.852,335.319,278.49
64.617,335.449,278.535
64.569,335.441,278.218
64.648,335.133,278.381
64.776,335.397,278.382
64.759,335.404,278.277
64.692,335.357,278.243
64.716,335.536,278.482
64.91,335.483,278.81
64.905,335.34,278.618
64.742,335.283,278.707
64.601,335.134,278.636
64.729,335.171,278.642
64.793,335.287,278.774
64.707,335.34,278.594
64.769,335.267,278.643
64.735,335.233,278.529
64.829,335.521,278.664
64.762,335.565,278.588
64.789,335.118,278.583
64.842,335.223,278.4
64.698,335.479,278.508
64.894,335.495,278.401
64.685,335.459,278.52
64.81,335.358,278.583
64.513,335.372,278.385
64.719,335.362,278.474
