x÷·,y÷·,z÷·
-187.984,399.498,334.541
-188.022,399.654,334.569
-188.016,399.696,334.572
-187.923,399.628,334.49
-188.073,399.5,334.486
-188.017,399.419,334.515
-188.191,399.454,334.444
-188.065,399.527,334.48
-188.075,399.622,334.437
-188.01,399.601,334.561
-188.081,399.55,334.304
-188.018,399.364,334.255
-187.894,399.448,334.475
-188.153,399.539,334.479
-188.006,399.502,334.413
-188.092,399.447,334.372
-187.924,399.441,334.237
-188.03,399.515,334.105
-188.165,399.426,334.223
-188.112,399.554,334.27
-188.18,399.611,334.265
-187.941,399.523,334.322
-188.15,399.539,334.263
-187.905,399.637,334.392
-188.075,399.439,334.357
-188.033,399.503,334.471
-187.99,399.544,334.428
-188.102,399.679,334.496
-187.894,399.473,334.349
-188.031,399.323,334.389
-188.139,399.378,334.315
-188.076,399.484,334.329
-187.973,399.367,334.307
-187.772,399.485,334.267
-187.7,399.446,334.346
-187.849,399.38,334.348
-187.887,399.488,334.394
-187.969,399.4,334.52
-187.916,399.349,334.526
-187.953,399.417,334.455
-187.926,399.487,334.348
-187.987,399.49,334.267
-187.823,399.379,334.436
-187.817,399.349,334.299
-187.946,399.411,334.314
-187.965,399.287,334.371
-188.021,399.191,334.785
-187.8,399.122,334.483
-187.889,399.162,334.452
-187.837,399.26,334.491
-187.703,399.261,334.382
-187.826,399.42,334.405
-187.936,399.413,334.544
-187.86,399.336,334.657
-187.963,399.333,334.554
-188.112,399.554,334.27
-188.18,399.611,334.265
-187.941,399.523,334.322
-188.15,399.539,334.263
-187.905,399.637,334.392
-188.075,399.439,334.357
-188.033,399.503,334.471
-187.99,399.544,334.428
-188.102,399.679,334.496
-187.894,399.473,334.349
-188.031,399.323,334.389
-188.139,399.378,334.315
-188.076,399.484,334.329
-187.973,399.367,334.307
-187.772,399.485,334.267
-187.7,399.446,334.346
-187.849,399.38,334.348
-187.887,399.488,334.394
-187.969,399.4,334.52
-187.916,399.349,334.526
-187.953,399.417,334.455
-187.926,399.487,334.348
-187.987,399.49,334.267
-187.823,399.379,334.436
-187.817,399.349,334.299
-187.946,399.411,334.314
-187.965,399.287,334.371
-188.021,399.191,334.785
-187.8,399.122,334.483
-187.889,399.162,334.452
-187.837,399.26,334.491
-187.703,399.261,334.382
-187.826,399.42,334.405
-187.936,399.413,334.544
-187.86,399.336,334.657
-187.963,399.333,334.554
-187.618,399.162,334.48
-188.028,399.237,334.267
-188.111,399.253,334.274
-188.059,399.219,334.346
-188.099,399.396,334.443
-188.123,399.384,334.466
-187.867,399.335,334.318
-188.035,399.672,334.348
-187.985,399.454,334.323
-187.957,399.515,334.388
-188.113,399.421,334.4
-188.082,399.285,334.542
-188.067,399.341,334.633
-188.076,399.361,334.518
-188.176,399.474,334.487
-188.157,399.259,334.384
-188.101,399.446,334.425
-187.987,399.377,334.348
-188.117,399.398,334.4
-187.963,399.455,334.515
-187.927,399.48,334.688
-187.908,399.421,334.595
-188.009,399.529,334.541
-187.955,399.57,334.717
-188.043,399.398,334.557
-188.001,399.521,334.638
-187.977,399.381,332.112
-188.053,399.398,332.164
-187.915,399.488,332.113
-187.894,399.433,331.979
-187.865,399.489,332.158
-187.797,399.327,332.098
-187.893,399.294,332.119
-187.963,399.358,332.056
-187.952,399.473,332.058
-187.858,399.302,332.001
-187.892,399.366,332.053
-188.052,399.379,331.925
-187.931,399.358,331.758
-188.101,399.381,332.007
-188.002,399.349,331.86
-187.952,399.338,332.0
-188.085,399.322,332.078
-187.941,399.288,332.086
-188.05,399.335,331.929
-188.195,399.703,331.947
-188.167,399.482,332.109
-188.039,399.479,332.06
-187.959,399.471,331.803
-187.942,399.771,331.811
-187.891,399.611,331.769
-187.916,399.631,331.817
-188.053,399.665,331.809
-188.018,399.594,331.616
-188.067,399.434,331.753
-188.206,399.6,331.899
-187.983,399.558,331.948
-188.009,399.53,331.838
-188.187,399.253,331.871
-188.14,399.334,331.982
-188.163,399.318,331.767
-188.193,399.479,331.735
-188.288,399.557,331.678
-188.136,399.572,331.703
-188.085,399.322,332.078
-187.941,399.288,332.086
-188.05,399.335,331.929
-188.195,399.703,331.947
-188.167,399.482,332.109
-188.039,399.479,332.06
-187.959,399.471,331.803
-187.942,399.771,331.811
-187.891,399.611,331.769
-187.916,399.631,331.817
-188.053,399.665,331.809
-188.018,399.594,331.616
-188.067,399.434,331.753
-188.206,399.6,331.899
-187.983,399.558,331.948
-188.009,399.53,331.838
-188.187,399.253,331.871
-188.14,399.334,331.982
-188.163,399.318,331.767
-188.193,399.479,331.735
-188.288,399.557,331.678
-188.136,399.572,331.703
-188.085,399.526,331.84
-188.15,399.565,331.773
-187.916,399.546,331.885
-187.965,399.485,332.044
-187.857,399.423,331.926
-187.847,399.564,332.057
-187.961,399.48,331.879
-188.061,399.332,331.85
-188.132,399.382,331.896
-188.164,399.464,331.836
-188.11,399.369,331.905
-188.245,399.487,331.837
-188.198,399.535,331.794
-188.093,399.513,331.993
-188.153,399.505,331.953
-188.331,399.497,331.909
-188.216,399.601,331.82
-188.241,399.556,331.916
-188.179,399.488,331.905
-188.056,399.531,331.635
-188.083,399.623,331.688
-188.285,399.542,331.91
-187.984,399.534,331.789
-187.964,399.65,331.715
-187.931,399.504,331.794
-188.011,399.707,331.789
-188.03,399.394,331.877
-187.957,399.468,331.781
-188.06,399.328,331.977
-187.844,399.519,331.996
-187.906,399.772,332.028
-188.078,399.537,331.833
-187.901,399.449,331.749
-187.834,399.576,331.808
-187.769,399.526,331.752
-187.949,399.452,331.834
-188.0,399.631,331.869
-188.157,399.412,331.794
-188.105,399.339,331.787
-188.029,399.495,331.808
-187.949,399.373,332.009
-188.126,399.517,331.9
-187.805,399.296,331.804
-187.862,399.421,331.886
-187.995,399.453,331.889
-187.943,399.336,331.88
-188.307,399.468,331.911
-188.14,399.596,332.025
-188.114,399.535,332.049
-188.15,399.391,331.962
-188.053,399.669,331.944
-188.073,399.453,331.913
-188.039,399.422,331.913
-188.066,399.448,331.951
-188.01,399.433,331.839
-188.155,399.497,331.912
-188.29,399.487,331.852
-188.334,399.379,331.949
-188.096,399.367,331.919
-188.025,399.488,331.877
-188.105,399.504,331.781
-188.179,399.581,331.838
-188.23,399.352,331.946
-188.04,399.508,331.884
-188.022,399.527,331.816
-188.096,399.286,331.887
-188.194,399.311,331.934
-188.105,399.409,331.875
-188.078,399.383,331.933
-188.227,399.329,331.943
-188.289,399.469,331.961
-188.115,399.433,331.99
-188.185,399.524,331.858
-188.25,399.462,331.974
-188.188,399.25,331.971
-188.22,399.481,332.027
-188.086,399.375,332.038
-187.997,399.53,331.87
-188.025,399.488,331.877
-188.105,399.504,331.781
-188.179,399.581,331.838
-188.23,399.352,331.946
-188.04,399.508,331.884
-188.022,399.527,331.816
-188.096,399.286,331.887
-188.194,399.311,331.934
-188.105,399.409,331.875
-188.078,399.383,331.933
-188.227,399.329,331.943
-188.289,399.469,331.961
-188.115,399.433,331.99
-188.185,399.524,331.858
-188.25,399.462,331.974
-188.188,399.25,331.971
-188.22,399.481,332.027
-188.086,399.375,332.038
-187.997,399.53,331.87
-188.091,399.295,331.917
-188.081,399.483,333.402
-188.086,399.373,334.481
-188.152,399.398,334.382
-188.08,399.534,334.422
-188.08,399.443,334.441
-188.036,399.215,334.483
-188.083,399.421,334.38
-188.03,399.325,334.391
-187.959,399.297,334.506
-188.148,399.186,334.403
-187.943,399.354,334.458
-188.129,399.282,334.38
-188.258,399.485,334.397
-188.132,399.412,334.471
-188.218,399.531,334.541
-188.33,399.526,334.585
-188.004,399.27,334.396
-188.121,399.301,334.365
-187.923,399.309,334.267
-187.789,399.339,334.39
-188.025,399.315,334.485
-187.946,399.377,334.395
-187.922,399.524,334.574
-187.957,399.434,334.391
-188.014,399.311,334.422
-187.992,399.403,334.388
-188.155,399.296,334.345
-188.267,399.313,334.272
-188.052,399.287,334.171
-188.178,399.193,334.161
-188.2,399.414,334.217
-188.12,399.282,334.398
-188.078,399.197,334.514
-187.963,399.535,334.228
-188.145,399.404,334.314
-188.217,399.427,334.509
-188.201,399.401,334.404
-188.37,399.431,334.347
-188.042,399.432,334.404
-187.98,399.527,334.254
-187.974,399.318,334.139
-188.224,399.452,334.215
-188.09,399.333,334.274
-188.199,399.258,334.199
-188.108,399.314,334.297
-188.115,399.356,334.41
-188.001,399.464,334.205
-187.998,399.488,334.231
