x÷·,y÷·,z÷·
368.201,-257.443,-64.298
368.321,-257.609,-64.372
368.248,-257.708,-64.168
368.246,-257.802,-64.229
368.072,-257.641,-64.328
368.337,-257.483,-64.253
368.21,-257.631,-64.191
368.214,-257.175,-64.164
368.124,-257.334,-64.301
368.099,-257.305,-64.187
368.078,-257.331,-64.227
368.068,-257.687,-64.194
368.045,-257.351,-64.363
368.018,-257.588,-64.331
368.016,-257.595,-64.204
368.061,-257.485,-64.269
368.178,-257.427,-64.397
368.11,-257.599,-64.312
368.086,-257.532,-64.202
368.095,-257.386,-64.179
368.062,-257.51,-64.268
368.302,-257.321,-64.306
368.202,-257.322,-64.389
368.156,-257.374,-64.228
368.198,-257.345,-64.252
368.114,-257.454,-64.175
368.184,-257.31,-64.325
368.28,-257.408,-64.248
368.124,-257.612,-64.104
368.17,-257.514,-64.077
368.067,-257.292,-64.258
368.15,-257.501,-64.286
368.078,-257.477,-64.275
368.16,-257.709,-64.151
368.226,-257.508,-64.247
368.181,-257.48,-64.34
368.177,-257.339,-64.258
368.146,-257.446,-64.238
368.237,-257.414,-64.163
368.269,-257.548,-64.233
368.159,-257.578,-64.223
368.203,-257.616,-64.375
368.173,-257.535,-64.341
367.995,-257.407,-64.319
368.164,-257.619,-64.223
368.154,-257.59,-64.154
368.078,-257.41,-64.26
368.171,-257.404,-64.229
368.265,-257.334,-64.195
368.398,-257.457,-64.182
368.564,-257.674,-64.071
368.235,-257.51,-64.37
368.207,-257.622,-64.289
368.262,-257.554,-64.234
368.298,-257.448,-64.114
368.219,-257.408,-64.189
368.194,-257.377,-64.172
368.335,-257.489,-64.181
368.337,-257.5,-64.125
368.304,-257.303,-64.207
368.243,-257.636,-64.238
368.13,-257.563,-64.141
368.14,-257.417,-64.061
368.052,-257.472,-64.231
368.022,-257.187,-64.428
368.222,-257.291,-64.173
368.166,-257.406,-64.09
368.263,-257.384,-64.06
368.232,-257.501,-64.132
368.144,-257.474,-64.172
368.095,-257.47,-64.061
367.976,-257.483,-64.046
368.012,-257.166,-64.057
368.119,-257.082,-64.115
368.166,-257.354,-64.092
368.31,-257.302,-64.065
368.287,-257.555,-63.997
368.24,-257.541,-64.2
368.153,-257.577,-64.262
368.2,-257.34,-64.119
368.154,-257.305,-64.075
368.032,-257.314,-64.136
368.128,-257.219,-64.047
368.332,-257.63,-64.166
368.256,-257.28,-64.287
368.417,-257.26,-64.298
368.233,-257.161,-64.149
368.38,-257.213,-64.178
368.454,-257.312,-64.189
368.41,-257.734,-64.199
368.311,-257.422,-64.349
368.317,-257.313,-64.358
368.451,-257.465,-64.33
368.203,-257.562,-64.305
368.278,-257.536,-64.323
368.305,-257.401,-64.254
367.952,-257.354,-64.198
367.855,-257.689,-64.41
368.122,-257.391,-64.389
368.133,-257.515,-64.316
