x÷·,y÷·,z÷·
390.848,94.65,-223.776
390.968,94.667,-223.861
391.082,94.536,-223.887
390.976,94.775,-223.77
391.008,94.526,-223.915
391.063,94.705,-223.879
391.24,94.693,-223.955
391.144,94.529,-223.671
391.014,94.848,-223.754
390.906,94.752,-223.694
391.127,94.663,-223.886
389.445,94.699,-223.681
389.363,94.715,-223.867
389.652,94.788,-223.864
389.59,94.733,-223.909
389.51,94.697,-223.871
389.764,94.738,-223.866
389.855,94.741,-223.877
389.619,94.841,-223.966
389.637,94.713,-224.013
389.281,94.632,-223.966
390.547,94.573,-224.04
389.644,94.334,-223.976
389.346,94.327,-223.854
389.539,94.561,-223.821
389.57,94.675,-223.875
389.536,94.499,-224.037
389.549,94.509,-223.95
389.481,94.624,-224.032
389.605,94.651,-224.053
389.945,94.651,-223.924
389.577,94.608,-223.965
389.795,94.686,-224.013
390.267,94.607,-224.095
389.831,94.475,-224.179
389.712,94.607,-223.964
389.475,94.741,-223.971
389.494,94.684,-224.017
389.436,94.67,-224.019
389.467,94.677,-223.885
389.493,94.707,-223.81
389.431,94.636,-223.994
389.434,94.589,-224.02
389.538,94.63,-224.013
389.442,94.744,-223.963
389.38,94.719,-223.972
389.445,94.637,-223.869
389.536,94.464,-223.978
389.641,94.529,-223.908
389.354,94.615,-223.886
389.45,94.462,-223.908
389.512,94.459,-223.838
389.485,94.394,-223.796
389.584,94.514,-223.709
389.36,94.609,-223.719
389.478,94.607,-223.946
389.611,94.587,-224.045
389.325,94.591,-223.986
389.525,94.619,-224.003
389.606,94.732,-224.034
389.645,94.818,-224.078
389.524,94.654,-224.048
389.572,94.744,-223.996
389.617,94.625,-223.914
389.66,94.707,-223.795
389.995,94.686,-223.794
389.746,94.599,-223.806
389.609,94.699,-223.896
389.575,94.691,-223.875
389.65,94.56,-223.928
390.58,94.504,-223.96
390.639,94.608,-223.84
390.833,94.753,-223.904
390.011,94.808,-223.935
389.381,94.794,-223.843
389.473,94.647,-223.7
389.35,94.617,-223.748
389.5,94.625,-223.69
389.692,94.663,-223.729
389.311,94.649,-223.781
389.409,94.727,-223.834
389.452,94.546,-223.721
390.137,94.559,-223.749
390.079,94.563,-223.867
389.354,94.49,-223.901
389.45,94.537,-223.8
389.626,94.649,-223.915
389.679,94.491,-223.676
389.87,94.719,-223.821
389.569,94.614,-223.58
389.474,94.582,-223.755
389.379,94.531,-223.643
389.306,94.583,-223.708
390.449,94.54,-223.69
389.413,94.573,-223.976
389.599,94.701,-223.931
389.534,94.64,-223.936
389.474,94.578,-223.913
389.578,94.632,-223.939
389.635,94.662,-223.96
389.747,94.75,-223.895
389.559,94.584,-223.855
389.532,94.668,-223.705
389.561,94.688,-223.862
389.527,94.891,-223.884
389.613,94.778,-223.819
389.614,94.699,-223.781
389.561,94.735,-223.825
389.562,94.713,-223.926
389.508,94.614,-223.907
389.558,94.682,-223.897
389.489,94.758,-223.925
389.545,94.771,-224.099
389.488,94.833,-224.026
389.526,94.745,-223.974
389.472,94.758,-223.841
389.421,94.711,-223.849
389.506,94.715,-223.932
389.532,94.601,-224.099
389.399,94.453,-223.879
389.462,94.65,-223.843
389.381,94.58,-223.854
389.356,94.67,-223.903
389.285,94.772,-223.949
390.975,94.568,-224.02
390.957,94.599,-223.907
391.037,94.626,-223.875
390.937,94.596,-223.925
391.129,94.542,-223.897
391.03,94.547,-224.006
390.935,94.49,-223.851
390.953,94.599,-223.765
390.999,94.689,-223.848
391.114,94.571,-223.831
390.974,94.666,-223.805
390.907,94.579,-223.812
391.125,94.593,-224.0
391.074,94.767,-223.956
391.151,94.674,-224.048
391.103,94.783,-224.068
390.982,94.738,-223.99
391.081,94.598,-223.889
391.095,94.75,-223.768
391.179,94.603,-223.871
390.929,94.613,-223.958
390.745,94.65,-223.737
390.932,94.573,-223.755
390.972,94.671,-223.634
391.041,94.653,-223.734
391.099,94.389,-223.738
390.95,94.465,-223.911
390.956,94.499,-223.864
391.036,94.536,-223.956
390.96,94.614,-224.004
391.062,94.665,-223.982
390.733,94.838,-223.864
390.789,94.719,-223.845
390.879,94.691,-223.785
390.798,94.612,-223.827
390.821,94.774,-223.906
390.885,94.655,-223.931
390.806,94.704,-223.952
390.876,94.674,-223.971
390.99,94.708,-224.008
391.02,94.689,-224.196
391.01,94.565,-223.866
390.807,94.707,-223.717
390.924,94.467,-223.96
390.951,94.54,-223.888
390.866,94.576,-223.907
391.007,94.624,-223.866
390.852,94.595,-223.849
391.1,94.852,-223.893
391.079,94.788,-223.823
390.939,94.621,-223.724
390.794,94.575,-223.704
390.919,94.586,-223.612
390.848,94.65,-223.776
390.968,94.667,-223.861
391.082,94.536,-223.887
390.976,94.775,-223.77
391.008,94.526,-223.915
391.063,94.705,-223.879
391.24,94.693,-223.955
391.144,94.529,-223.671
391.014,94.848,-223.754
390.906,94.752,-223.694
391.127,94.663,-223.886
389.445,94.699,-223.681
389.363,94.715,-223.867
389.652,94.788,-223.864
389.59,94.733,-223.909
389.51,94.697,-223.871
389.764,94.738,-223.866
389.855,94.741,-223.877
389.619,94.841,-223.966
389.637,94.713,-224.013
389.281,94.632,-223.966
390.547,94.573,-224.04
389.644,94.334,-223.976
390.832,94.705,-223.83
390.652,94.79,-223.788
390.398,94.703,-223.797
389.571,94.877,-223.809
390.155,94.728,-223.867
389.542,94.629,-223.943
389.62,94.408,-223.864
389.822,94.652,-223.946
389.726,94.562,-223.83
389.558,94.515,-223.938
389.773,94.599,-224.005
389.595,94.668,-223.86
389.601,94.775,-223.942
389.69,94.76,-223.858
389.646,94.55,-223.993
389.552,94.411,-223.986
389.671,94.514,-224.066
389.468,94.484,-224.078
389.62,94.449,-223.898
389.467,94.676,-223.825
389.484,94.615,-223.912
389.478,94.554,-223.91
389.427,94.68,-223.851
389.462,94.577,-224.02
389.357,94.645,-224.032
389.637,94.646,-224.096
389.486,94.869,-223.941
389.506,94.658,-224.161
389.487,94.534,-223.93
389.415,94.617,-223.975
389.33,94.651,-224.079
389.259,94.635,-224.001
389.33,94.591,-224.075
389.469,94.582,-224.13
